sem,prof,dept,course_nbr,course_name,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3,f
Aggregate,"MCMASTER, RICHARD E",ART,304L,THREE-DIMENSIONAL FOUNDATIONS,0,3,0,1,5,1,0,0,1,0,0,0,0
Aggregate,"PARK, JIWON",ART,304L,THREE-DIMENSIONAL FOUNDATIONS,0,5,2,2,2,1,2,0,0,0,0,0,0
Aggregate,"POWELL, HEIDI C",ART,304L,THREE-DIMENSIONAL FOUNDATIONS,0,8,0,1,1,1,0,0,0,0,0,0,0
Aggregate,"PROCTOR, SCOTT R",ART,304L,THREE-DIMENSIONAL FOUNDATIONS,0,5,2,1,4,0,0,0,0,0,0,0,0
Aggregate,"SAWYER, MARGO L",ART,304L,THREE-DIMENSIONAL FOUNDATIONS,0,5,4,2,0,0,0,0,2,0,0,0,0
Aggregate,"SCHWEIGERT, WILLIAM",ART,304L,THREE-DIMENSIONAL FOUNDATIONS,0,3,3,0,2,0,2,0,0,0,0,0,1
Aggregate,"STONEY, JOHN S",ART,304L,THREE-DIMENSIONAL FOUNDATIONS,0,12,3,2,1,0,0,0,1,0,0,0,0
Aggregate,"WILLIAMS, JEFF",ART,304L,THREE-DIMENSIONAL FOUNDATIONS,0,9,6,0,0,0,0,0,0,0,0,0,0
Aggregate,"LINCOVE, JANE",P A,392C,THRY & PHILOS OF PUBLIC POL I,0,6,0,0,1,0,0,1,0,0,0,0,0
Aggregate,"LYNN, LAURENCE E JR",P A,392D,THRY & PHILOS OF PUBLIC POL II,0,4,1,1,1,0,0,1,0,0,0,0,0
Aggregate,"ALU, ANDREA",E E,383N,THRY OF ELECMAG FLD: ELECDYNAM,0,19,7,7,4,1,0,1,0,0,0,0,0
Aggregate,"BECKNER, WILLIAM",M,361,THRY OF FUNC OF CMPLX VARIABLE,0,7,1,9,3,1,0,0,0,0,0,0,1
Aggregate,"CAMPBELL, JONATHAN A",M,361,THRY OF FUNC OF CMPLX VARIABLE,0,21,0,0,14,0,0,3,0,0,0,0,0
Aggregate,"CLARK, DAVID",M,361,THRY OF FUNC OF CMPLX VARIABLE,0,10,1,0,3,2,1,2,1,0,1,0,2
Aggregate,"KOCH, HANS A",M,361,THRY OF FUNC OF CMPLX VARIABLE,0,9,6,6,5,7,7,7,6,0,3,4,5
Aggregate,"KORMAN, ERIC O",M,361,THRY OF FUNC OF CMPLX VARIABLE,0,12,6,9,7,2,6,4,2,0,1,1,1
Aggregate,"MAGGI, FRANCESCO",M,361,THRY OF FUNC OF CMPLX VARIABLE,0,14,8,6,6,6,1,3,2,1,0,0,6
Aggregate,"MCCOY, DUNCAN E",M,361,THRY OF FUNC OF CMPLX VARIABLE,0,7,2,2,2,1,0,2,0,0,0,1,0
Aggregate,"PAVLOVIC, NATASA",M,361,THRY OF FUNC OF CMPLX VARIABLE,0,42,14,10,21,7,10,16,5,0,1,0,5
Aggregate,"SCHMIDT, BENJAMIN",M,361,THRY OF FUNC OF CMPLX VARIABLE,0,7,4,3,2,2,2,1,0,0,0,0,0
Aggregate,"MCCLURE, MARK W",PGE,382K,THRY/APPL OF RESERVOIR TRANSNT,0,3,8,3,1,0,0,0,0,0,0,0,0
Aggregate,"LI, WEI",M E,397,THRY/DSGN OF MECH MEASUREMENT,0,8,2,0,0,0,0,0,0,0,0,0,0
Aggregate,"BECKHAM, ANDREA P",T D,352T,THRY/PRAC PILATES-EVOLVED LAB,0,31,9,2,0,0,0,0,0,0,0,0,0
Aggregate,"LAZARUS, JOAN",T D,326C,THTR STUDIES: CREATIVE DRAMA,0,8,7,2,1,1,0,0,0,0,1,0,0
Aggregate,"SCHROEDER-ARCE, ROXANNE",T D,626E,THTR STUDIES: DIR YOUNG PRFRMR,0,7,3,0,0,0,0,0,0,0,0,0,0
Aggregate,"ALRUTZ, MEGAN",T D,326D,THTR STUDIES: YOUNG AUDIENCES,0,7,9,0,6,0,1,1,0,1,1,0,0
Aggregate,"EVANS, CAROL N",T D,326D,THTR STUDIES: YOUNG AUDIENCES,0,10,1,0,3,0,0,0,1,0,0,0,0
Aggregate,"STAUFFER, DEVIN A",GOV,382M,THUCYDIDES' POLITICAL REALISM,0,1,3,2,0,0,1,0,0,0,0,0,1
Aggregate,"LEOSHKO, JANICE",ARH,372,TIBETAN ART,0,11,4,1,7,4,1,1,1,1,0,0,0
Aggregate,"DANGEL, ULRICH C",ARC,386M,TIMBER TECHNOLOGIES,0,3,4,3,0,0,0,0,0,0,0,0,0
Aggregate,"BALLARD, DAWNA",CMS,372T,TIME MATTERS,0,34,34,32,56,23,21,19,5,2,2,3,2
Aggregate,"CARVALHO, CARLOS M",SDS,389,TIME SERIES & DYNAMIC MODELS,0,26,26,21,1,0,0,0,0,0,0,0,0
